Best Solution Found: (1481)
01 20 23 16 05 13 03 34 07 39 31 30 15 29 38 10 12 02 24 22 40 32 19 28 26 09 18 14 11 04 35 06 27 37 17 25 21 36 08 33 01

01 20 = 44
20 23 = 5
23 16 = 34
16 05 = 79
05 13 = 1
13 03 = 51
03 34 = 22
34 07 = 25
07 39 = 44
39 31 = 62
31 30 = 16
30 15 = 24
15 29 = 35
29 38 = 10
38 10 = 90
10 12 = 24
12 02 = 16
02 24 = 44
24 22 = 2
22 40 = 164
40 32 = 27
32 19 = 33
19 28 = 8
28 26 = 25
26 09 = 64
09 18 = 13
18 14 = 3
14 11 = 51
11 04 = 84
04 35 = 24
35 06 = 27
06 27 = 54
27 37 = 7
37 17 = 35
17 25 = 22
25 21 = 3
21 36 = 47
36 08 = 40
08 33 = 47
33 01 = 75
