Best Solution Found: (1530)
00 16 14 17 18 19 01 29 28 27 22 36 21 20 13 10 12 37 09 08 11 15 05 07 06 04 35 33 30 26 23 24 25 31 32 34 38 02 03 00

00 16 = 13
16 14 = 25
14 17 = 31
17 18 = 7
18 19 = 9
19 01 = 32
01 29 = 57
29 28 = 8
28 27 = 20
27 22 = 36
22 36 = 68
36 21 = 27
21 20 = 19
20 13 = 60
13 10 = 125
10 12 = 53
12 37 = 61
37 09 = 7
09 08 = 20
08 11 = 33
11 15 = 30
15 05 = 60
05 07 = 34
07 06 = 31
06 04 = 95
04 35 = 51
35 33 = 56
33 30 = 15
30 26 = 31
26 23 = 36
23 24 = 19
24 25 = 67
25 31 = 59
31 32 = 50
32 34 = 56
34 38 = 48
38 02 = 38
02 03 = 16
03 00 = 27
