Best Solution Found: (1613)
00 01 02 31 30 29 24 42 23 22 18 16 17 15 12 13 43 11 10 14 21 19 20 07 09 08 40 41 06 39 35 32 28 25 26 27 33 34 36 37 38 44 03 04 05 00

00 01 = 26
01 02 = 20
02 31 = 37
31 30 = 8
30 29 = 20
29 24 = 36
24 42 = 68
42 23 = 27
23 22 = 19
22 18 = 60
18 16 = 114
16 17 = 9
17 15 = 42
15 12 = 69
12 13 = 11
13 43 = 57
43 11 = 7
11 10 = 20
10 14 = 33
14 21 = 29
21 19 = 25
19 20 = 28
20 07 = 60
07 09 = 34
09 08 = 31
08 40 = 70
40 41 = 62
41 06 = 22
06 39 = 51
39 35 = 56
35 32 = 15
32 28 = 31
28 25 = 36
25 26 = 19
26 27 = 67
27 33 = 59
33 34 = 50
34 36 = 30
36 37 = 26
37 38 = 34
38 44 = 14
44 03 = 8
03 04 = 30
04 05 = 16
05 00 = 27
