Best Solution Found: (1286)
00 13 12 14 15 16 01 25 24 23 26 27 28 29 22 20 21 31 18 19 17 11 08 10 09 32 07 04 06 05 30 33 02 03 00

00 13 = 13
13 12 = 25
12 14 = 31
14 15 = 7
15 16 = 9
16 01 = 32
01 25 = 57
25 24 = 8
24 23 = 20
23 26 = 48
26 27 = 53
27 28 = 50
28 29 = 28
29 22 = 46
22 20 = 36
20 21 = 19
21 31 = 76
31 18 = 27
18 19 = 17
19 17 = 45
17 11 = 60
11 08 = 125
08 10 = 53
10 09 = 41
09 32 = 20
32 07 = 7
07 04 = 54
04 06 = 34
06 05 = 31
05 30 = 101
30 33 = 32
33 02 = 38
02 03 = 16
03 00 = 27

