Best Solution Found: (1776)
00 25 01 09 33 27 02 41 43 22 20 37 38 18 17 12 32 07 23 34 13 46 36 14 35 15 16 45 39 19 44 21 40 47 26 42 28 03 24 04 29 30 05 31 06 08 11 10 00

00 25 = 20
25 01 = 19
01 09 = 37
09 33 = 19
33 27 = 31
27 02 = 85
02 41 = 70
41 43 = 32
43 22 = 29
22 20 = 56
20 37 = 54
37 38 = 7
38 18 = 25
18 17 = 20
17 12 = 45
12 32 = 19
32 07 = 67
07 23 = 113
23 34 = 34
34 13 = 12
13 46 = 18
46 36 = 12
36 14 = 34
14 35 = 49
35 15 = 56
15 16 = 36
16 45 = 22
45 39 = 62
39 19 = 41
19 44 = 16
44 21 = 112
21 40 = 34
40 47 = 14
47 26 = 8
26 42 = 39
42 28 = 27
28 03 = 62
03 24 = 26
24 04 = 7
04 29 = 21
29 30 = 44
30 05 = 11
05 31 = 41
31 06 = 58
06 08 = 30
08 11 = 31
11 10 = 32
10 00 = 39
