Best Solution Found: (1473)
00 13 11 14 15 16 01 26 25 24 19 33 18 17 10 09 34 08 12 05 07 06 04 32 30 27 23 20 21 22 28 29 31 35 02 03 00

00 13 = 13
13 11 = 25
11 14 = 31
14 15 = 7
15 16 = 9
16 01 = 32
01 26 = 57
26 25 = 8
25 24 = 20
24 19 = 36
19 33 = 68
33 18 = 27
18 17 = 19
17 10 = 60
10 09 = 125
09 34 = 57
34 08 = 7
08 12 = 83
12 05 = 60
05 07 = 34
07 06 = 31
06 04 = 95
04 32 = 51
32 30 = 56
30 27 = 15
27 23 = 31
23 20 = 36
20 21 = 19
21 22 = 67
22 28 = 59
28 29 = 50
29 31 = 56
31 35 = 48
35 02 = 38
02 03 = 16
03 00 = 27
